#No Freq Ls Rs Q
0 0.01 6.23416 0.0228384 17.15110626
1 0.02 6.1859 0.0302471 25.699757
2 0.03 6.14922 0.0359546 32.2378962
3 0.04 6.12493 0.0397459 38.73010316
4 0.05 6.111 0.0423694 45.31164639
5 0.06 6.10193 0.0443125 51.91251713
6 0.07 6.09623 0.0459171 58.39353952
7 0.08 6.09221 0.0472992 64.74271761
8 0.09 6.0894 0.0486673 70.75540609
9 0.1 6.08743 0.0499854 76.51924509
10 0.11 6.08587 0.0512991 81.99464291
11 0.12 6.08478 0.0527216 87.01966623
12 0.13 6.08385 0.0541264 91.81054718
13 0.14 6.08323 0.0556694 96.12262014
14 0.15 6.08264 0.0571841 100.2508239
15 0.16 6.08238 0.0588052 103.9818809
16 0.17 6.08208 0.0604876 107.4025431
17 0.18 6.08193 0.0622965 110.4155254
18 0.19 6.08176 0.0642148 113.0648505
19 0.2 6.08166 0.0661903 115.4616213
20 0.21 6.08158 0.0681777 117.6991269
21 0.22 6.08146 0.0703224 119.5409546
22 0.23 6.08139 0.0725374 121.1570179
23 0.24 6.0814 0.0748439 122.5288253
24 0.25 6.08149 0.0772042 123.7339698
25 0.26 6.08023 0.0785748 126.4124766
26 0.27 6.08039 0.0809992 127.3486481
27 0.28 6.08053 0.0835273 128.071027
28 0.29 6.08065 0.0863441 128.3202525
29 0.3 6.08082 0.0890635 128.6955449
30 0.31 6.08097 0.0917849 129.0455949
31 0.32 6.08115 0.0947558 129.0356637
32 0.33 6.08132 0.0977376 129.0119663
33 0.34 6.08149 0.100798 128.8893007
34 0.35 6.08171 0.103926 128.6913652
35 0.36 6.08194 0.107237 128.2861715
36 0.37 6.08218 0.11066 127.7762668
37 0.38 6.08257 0.114143 127.2334483
38 0.39 6.08289 0.1178 126.5345567
39 0.4 6.08323 0.121402 125.9355245
40 0.41 6.0836 0.125063 125.3128289
41 0.42 6.08384 0.128845 124.6061199
42 0.43 6.08417 0.132584 123.981974
43 0.44 6.08452 0.1367 123.052475
44 0.45 6.08483 0.140715 122.264517
45 0.46 6.08526 0.144907 121.3745055
46 0.47 6.08562 0.149171 120.4753386
47 0.48 6.08608 0.153455 119.6128171
48 0.49 6.08646 0.157835 118.7236954
49 0.5 6.08696 0.162431 117.7284436
50 0.51 6.0875 0.16706 116.7660373
51 0.52 6.08792 0.171876 115.7275905
52 0.53 6.08841 0.176444 114.908653
53 0.54 6.08887 0.181352 113.9168534
54 0.55 6.08934 0.186217 113.0039061
55 0.56 6.08984 0.191108 112.1230519
56 0.57 6.09033 0.196469 111.0200745
57 0.58 6.09084 0.20183 109.9763579
58 0.59 6.0914 0.207229 108.9678715
59 0.6 6.09196 0.212518 108.0668373
60 0.61 6.09241 0.217825 107.1990911
61 0.62 6.09295 0.22339 106.2515915
62 0.63 6.09353 0.228962 105.3479191
63 0.64 6.09411 0.234803 104.3677906
64 0.65 6.09468 0.240629 103.4418233
65 0.66 6.09529 0.24654 102.5252378
66 0.67 6.09591 0.252581 101.5997266
67 0.68 6.09646 0.258933 100.5956281
68 0.69 6.09715 0.265536 99.54797494
69 0.7 6.09777 0.271453 98.79939883
70 0.71 6.09836 0.277652 97.9829406
71 0.72 6.09905 0.284111 97.11504366
72 0.73 6.09976 0.290631 96.26613596
73 0.74 6.10039 0.297442 95.3601435
74 0.75 6.10118 0.30441 94.44871522
75 0.76 6.10184 0.3114 93.56979284
76 0.77 6.10261 0.317997 92.84599762
77 0.78 6.10331 0.324946 92.05104116
78 0.79 6.10409 0.331911 91.286434
79 0.8 6.10484 0.339083 90.49782146
80 0.81 6.10553 0.346397 89.70448034
81 0.82 6.10631 0.354021 88.86761905
82 0.83 6.10704 0.361248 88.16237355
83 0.84 6.10782 0.368766 87.41672091
84 0.85 6.10861 0.376259 86.7070271
85 0.86 6.10945 0.38396 85.97940819
86 0.87 6.11026 0.391866 85.23564023
87 0.88 6.11109 0.399696 84.53789278
88 0.89 6.11191 0.407759 83.81915339
89 0.9 6.11269 0.41568 83.15638856
90 0.91 6.1135 0.423957 82.44975451
91 0.92 6.11439 0.432442 81.73215779
92 0.93 6.11527 0.440717 81.08091676
93 0.94 6.11612 0.448921 80.46625665
94 0.95 6.11697 0.457389 79.82779041
95 0.96 6.11787 0.465899 79.20627101
96 0.97 6.1188 0.474649 78.56792626
97 0.98 6.11967 0.484053 77.8468478
98 0.99 6.12065 0.492867 77.2472216
99 1 6.12164 0.501791 76.65222872
100 1.01 6.12263 0.510277 76.14357505
101 1.02 6.12348 0.519567 75.53300875
